username,name,company,role,priority,tags,hire_signal,quality,last_verified,notes
sama,Sam Altman,OpenAI,CEO,5,"ai,founder,openai",5,5,2026-07-24,"Major OpenAI announcements and hiring"
demishassabis,Demis Hassabis,Google DeepMind,CEO,5,"ai,research,founder",4,5,2026-07-24,"DeepMind research and product releases"
DarioAmodei,Dario Amodei,Anthropic,CEO,5,"ai,founder",4,5,2026-07-24,"Anthropic direction and AI safety"
karpathy,Andrej Karpathy,Eureka Labs,Founder,5,"ai,research,education",2,5,2026-07-24,"One of the highest-signal AI educators"
ylecun,Yann LeCun,Meta,Chief AI Scientist,5,"ai,research",1,5,2026-07-24,"Research discussions"
fchollet,Francois Chollet,ARC Prize,Keras Creator,5,"ai,research",1,5,2026-07-24,"Deep ML discussions"
AndrewYNg,Andrew Ng,DeepLearning.AI,Founder,5,"ai,education",2,5,2026-07-24,"Courses and industry trends"
DrJimFan,Jim Fan,NVIDIA,Research Scientist,5,"ai,nvidia,research",2,5,2026-07-24,"Embodied AI"
rasbt,Sebastian Raschka,Lightning AI,Researcher,5,"ai,education",1,5,2026-07-24,"Hands-on ML"
simonw,Simon Willison,Independent,Developer,5,"ai,llm,oss",2,5,2026-07-24,"LLM ecosystem"
swyx,Shawn Wang,Latent Space,Founder,5,"ai,creator,startups",4,5,2026-07-24,"AI Engineering"
hwchase17,Harrison Chase,LangChain,Founder,5,"ai,oss,langchain",4,5,2026-07-24,"LangChain updates"
jerryjliu0,Jerry Liu,LlamaIndex,Founder,5,"ai,rag",4,5,2026-07-24,"RAG and agents"
jxmnop,Jason Liu,Independent,AI Engineer,5,"ai,llm",2,5,2026-07-24,"LLM engineering"
alessiofanelli,Alessio Fanelli,AI Engineer,Founder,5,"ai,community,hiring",5,5,2026-07-24,"AI engineering community"
rowancheung,Rowan Cheung,The Rundown AI,Creator,4,"ai,news",1,4,2026-07-24,"AI news"
deedydas,Deedy Das,Menlo Ventures,VC,4,"ai,venture",3,5,2026-07-24,"AI investing"
bindureddy,Bindu Reddy,Abacus.AI,Founder,4,"ai,founder",4,4,2026-07-24,"Founder insights"
lexfridman,Lex Fridman,MIT,Researcher,4,"ai,podcast",1,5,2026-07-24,"Long-form interviews"
JeffDean,Jeff Dean,Google,Chief Scientist,5,"ai,research",1,5,2026-07-24,"Google AI"

leerob,Lee Robinson,Vercel,VP Developer Experience,5,"creator,devtools,hiring",5,5,2026-07-24,"Excellent hiring signal"
rauchg,Guillermo Rauch,Vercel,Founder,5,"founder,cloud",5,5,2026-07-24,"Vercel and AI"
shadcn,shadcn,Independent,Creator,5,"frontend,oss",1,5,2026-07-24,"UI ecosystem"
theo,Theo Browne,Ping.gg,Creator,5,"creator,startups",2,5,2026-07-24,"Web + startup content"
t3dotgg,Theo Browne,Ping.gg,Creator,5,"creator,web",2,5,2026-07-24,"Developer discussions"
fireship_dev,Fireship,Fireship,Creator,5,"creator,education",1,5,2026-07-24,"Developer news"
