username,category
ThePrimeagen,tech_creators
theo,tech_creators
fireship_dev,tech_creators
mattpocockuk,tech_creators
kentcdodds,tech_creators
cassidoo,tech_creators
rauchg,tech_creators
swyx,tech_creators
HusseinNasser,tech_creators
JoshWComeau,tech_creators
dan_abramov,tech_creators
addyosmani,tech_creators
jarredsumner,tech_creators
leerob,tech_creators
shadcn,tech_creators
t3dotgg,tech_creators
hwchase17,ai_founders
jerryjliu0,ai_founders
karpathy,ai_founders
rasbt,ai_founders
OpenRouterAI,ai_founders
togethercompute,ai_founders
huggingface,ai_founders
ollama,ai_founders
cursor_ai,ai_founders
v0,ai_founders
vercel,ai_founders
supabase,ai_founders
jxmnop,ai_founders
alessiofanelli,ai_founders
cloudflare,remote_companies
github,remote_companies
stripe,remote_companies
datadog,remote_companies
linear,remote_companies
mercury,remote_companies
modal_labs,remote_companies
flydotio,remote_companies
railway,remote_companies
convex_dev,remote_companies
neondatabase,remote_companies
turso,remote_companies
WellfoundHQ,job_boards
RemoteOK,job_boards
weworkremotely,job_boards
otta,job_boards
himalayas_app,job_boards
ycombinator,job_boards
paulg,vc_founders
garrytan,vc_founders
cdixon,vc_founders
saranormous,vc_founders
